Store,Store_Num,Store_name,Latitude,Longitude,Store_Address,Zip,Store_Phone_Num
Walmart,5331,Phoenix Walmart Supercenter,33.4204018,-112.2231893,"7575 W Lower Buckeye Rd, Phoenix, AZ",85043,(623) 907-0007
Walmart,3844,Glendale Walmart Neighborhood Market,33.5647729,-112.1700005,"5137 W Olive Ave, Glendale, AZ",85302,(623) 939-4237
Walmart,1549,Phoenix Walmart Supercenter,33.470806,-112.223505,"2020 N 75Th Ave, Phoenix, AZ",85035,(623) 849-1030
Walmart,5349,Mesa Walmart Neighborhood Market,33.363017,-111.654204,"8335 E Guadalupe Rd, Mesa, AZ",85212,(480) 357-4137
Walmart,2512,Phoenix Walmart Supercenter,33.637216,-112.098055,"1825 W Bell Rd, Phoenix, AZ",85023,(602) 942-4138
Walmart,3314,Glendale Walmart Neighborhood Market,33.539296,-112.218862,"7450 W Glendale Ave, Glendale, AZ",85303,(623) 915-2632
Walmart,3845,Glendale Walmart Neighborhood Market,33.5802237,-112.2019234,"6645 W Peoria Ave, Glendale, AZ",85302,(623) 773-2947
Walmart,3833,Mesa Walmart Supercenter,33.38506,-111.599933,"1606 S Signal Butte Rd, Mesa, AZ",85209,(480) 358-1122
Walmart,3465,Glendale Walmart Supercenter,33.51025,-112.267293,"5010 N 95Th Ave, Glendale, AZ",85305,(623) 872-0058
Walmart,1533,Peoria Walmart Supercenter,33.5784583,-112.2303209,"7975 W Peoria Ave, Peoria, AZ",85345,(623) 878-9907
Walmart,3315,Glendale Walmart Neighborhood Market,33.656074,-112.150364,"4230 W Union Hills Dr, Glendale, AZ",85308,(623) 869-0779
Walmart,1532,Glendale Walmart Supercenter,33.636517,-112.184744,"5845 W Bell Rd, Glendale, AZ",85308,(602) 978-8205
Walmart,4275,Peoria Walmart Neighborhood Market,33.609159,-112.21834,"7421 West Thunderbird Road, Peoria, AZ",85381,(602) 627-9848
Walmart,1381,Apache Junction Walmart Supercenter,33.413821,-111.5753437,"2555 W Apache Trl, Apache Junction, AZ",85120,(480) 380-3800
Walmart,4451,Queen Creek Walmart Supercenter,33.251461,-111.629508,"21055 E Rittenhouse Rd, Queen Creek, AZ",85142,(480) 457-1158
Walmart,5190,Phoenix Walmart Supercenter,33.7083498,-112.1129733,"2501 W Happy Valley Rd Ste 34, Phoenix, AZ",85085,(623) 780-5702
Walmart,3241,Glendale Walmart Supercenter,33.65067,-112.234138,"18551 N 83Rd Ave, Glendale, AZ",85308,(623) 825-1129
Walmart,2554,Avondale Walmart Supercenter,33.459141,-112.3381,"13055 W Rancho Santa Fe Blvd, Avondale, AZ",85392,(623) 935-4010
Walmart,3604,Goodyear Walmart Neighborhood Market,33.4871959,-112.3644107,"14200 W Indian School Rd, Goodyear, AZ",85395,(623) 935-7007
Walmart,4233,Glendale Walmart Neighborhood Market,33.713791,-112.201314,"6550 West Happy Valley Rd, Glendale, AZ",85310,(623) 566-9754
Walmart,5835,Cave Creek Walmart Supercenter,33.796641,-111.962216,"34399 N Cave Creek Rd, Cave Creek, AZ",85331,(480) 296-7398
Walmart,3896,Peoria Walmart Supercenter,33.680298,-112.276167,"21655 N Lake Pleasant Pkwy, Peoria, AZ",85382,(623) 537-0809
Walmart,4336,El Mirage Walmart Supercenter,33.610608,-112.33649,"12900 W Thunderbird Rd, El Mirage, AZ",85335,(623) 583-1321
Walmart,5369,Goodyear Walmart Supercenter,33.459558,-112.395288,"1100 N Estrella Pkwy, Goodyear, AZ",85338,(623) 925-9575
Walmart,3751,San Tan Valley Walmart Supercenter,33.176395,-111.584612,"1725 W Hunt Hwy, San Tan Valley, AZ",85143,(480) 677-2149
Walmart,4430,Maricopa Walmart Supercenter,33.039071,-112.014193,"41650 W Maricopa Casa Grande H, Maricopa, AZ",85138,(520) 568-0846
Walmart,2777,Surprise Walmart Supercenter,33.642779,-112.358141,"13770 W Bell Rd, Surprise, AZ",85374,(623) 544-2200
Walmart,4218,Surprise Walmart Neighborhood Market,33.622677,-112.392434,"15431 W Greenway Rd, Surprise, AZ",85374,(623) 584-0189
Walmart,5429,Surprise Walmart Supercenter,33.612439,-112.420708,"14111 N Prasada Gateway Ave, Surprise, AZ",85388,(623) 282-3208
Walmart,5329,Anthem Walmart Supercenter,33.869614,-112.154941,"4435 W Anthem Way, Anthem, AZ",85086,(623) 551-6314
Walmart,3407,Buckeye Walmart Supercenter,33.436922,-112.560303,"1060 S Watson Rd, Buckeye, AZ",85326,(623) 474-6728
Walmart,2778,Coolidge Walmart Supercenter,33.000049,-111.520207,"1695 N Arizona Blvd, Coolidge, AZ",85128,(520) 723-0945
Walmart,1218,Casa Grande Walmart Supercenter,32.877207,-111.712266,"1741 E Florence Blvd, Casa Grande, AZ",85122,(520) 421-1200
